VCD info: dumpfile waveforms/pll_full.vcd opened for output.

============================================
PLL STARTED
Reference clock = 10 MHz
TDC clock       = 200 MHz
Control clock   = 50 MHz
Divider         = 4
Initial VCO target approximately 40 MHz
Stable-lock requirement = 1000 ctrl cycles = 20.00 us
============================================

time=20090000 state=2 error=11 tuning=608 kp=0 ki=0 locked=0
time=20190000 state=2 error=11 tuning=608 kp=0 ki=0 locked=0
time=20290000 state=2 error=11 tuning=608 kp=0 ki=0 locked=0
time=20390000 state=2 error=11 tuning=608 kp=0 ki=0 locked=0
time=20490000 state=2 error=11 tuning=608 kp=0 ki=0 locked=0
time=20590000 state=2 error=11 tuning=608 kp=0 ki=0 locked=0
time=20690000 state=2 error=11 tuning=608 kp=0 ki=0 locked=0
time=20790000 state=2 error=11 tuning=608 kp=0 ki=0 locked=0
time=20890000 state=2 error=11 tuning=608 kp=0 ki=0 locked=0
time=20990000 state=2 error=11 tuning=608 kp=0 ki=0 locked=0
time=21090000 state=2 error=12 tuning=608 kp=0 ki=0 locked=0
time=21190000 state=2 error=12 tuning=608 kp=0 ki=0 locked=0
time=21290000 state=2 error=12 tuning=608 kp=0 ki=0 locked=0
time=21390000 state=2 error=12 tuning=608 kp=0 ki=0 locked=0
time=21490000 state=2 error=12 tuning=608 kp=0 ki=0 locked=0
time=21590000 state=2 error=12 tuning=608 kp=0 ki=0 locked=0
time=21690000 state=2 error=12 tuning=608 kp=0 ki=0 locked=0
time=21790000 state=2 error=12 tuning=608 kp=0 ki=0 locked=0
time=21890000 state=2 error=12 tuning=608 kp=0 ki=0 locked=0
time=21990000 state=2 error=12 tuning=608 kp=0 ki=0 locked=0
time=22090000 state=2 error=12 tuning=608 kp=0 ki=0 locked=0
time=22190000 state=2 error=12 tuning=608 kp=0 ki=0 locked=0
time=22290000 state=2 error=12 tuning=608 kp=0 ki=0 locked=0
time=22390000 state=2 error=12 tuning=608 kp=0 ki=0 locked=0
time=22510000 state=2 error=13 tuning=608 kp=0 ki=0 locked=0
time=22610000 state=2 error=13 tuning=608 kp=0 ki=0 locked=0
time=22710000 state=2 error=13 tuning=608 kp=0 ki=0 locked=0
time=22810000 state=2 error=13 tuning=608 kp=0 ki=0 locked=0
time=22910000 state=2 error=13 tuning=608 kp=0 ki=0 locked=0
time=23010000 state=2 error=13 tuning=608 kp=0 ki=0 locked=0
time=23110000 state=2 error=13 tuning=608 kp=0 ki=0 locked=0
time=23210000 state=2 error=13 tuning=608 kp=0 ki=0 locked=0
